Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
MRVL,147.84,2026/04/20,16:00 EDT,8.14999,147.45,149.58,143.93,38692791,,,,,,,,
NVDA,202.06,2026/04/20,16:00 EDT,0.380005,199.98,202.17,197.8397,118513377,,,,,,,,
GLD,442.09,2026/04/20,16:00 EDT,-3.84,443.13,443.42,440.09,8287795,,,,,,,,
GC=F,4845.0,2026/04/20,20:49 EDT,16.200195,4842.4,4854.8,4836.4,7203,,,,,,,,
DAL,71.21,2026/04/20,16:00 EDT,-0.510002,71.045,72.24,70.945,7587107,,,,,,,,
UBER,77.49,2026/04/20,16:00 EDT,0.369995,76.67,77.705,75.7,11479153,,,,,,,,
NKE,46.48,2026/04/20,16:00 EDT,0.450001,45.98,46.56,45.57,16566172,,,,,,,,
O,64.92,2026/04/20,16:00 EDT,-0.169998,65.01,65.35,64.805,4088080,,,,,,,,
SOFI,19.5,2026/04/20,16:00 EDT,0.0699997,19.212,19.645,19.09,50129797,,,,,,,,
UPRO,124.49,2026/04/20,16:00 EDT,-0.740005,124.49,125.115,123.14,3159891,,,,,,,,
SPXL,237.33,2026/04/20,16:00 EDT,-1.39999,237.35,238.5,234.7301,2060658,,,,,,,,
FNGU,23.07,2026/04/20,16:00 EDT,-0.77,23.6,23.675,22.4101,8524365,,,,,,,,
TQQQ,58.08,2026/04/20,16:00 EDT,-0.509998,58.4,58.58,56.91,65486654,,,,,,,,
SDOW,28.88,2026/04/20,16:00 EDT,-0.0100002,29.03,29.24,28.815,3925303,,,,,,,,
SPXS,31.23,2026/04/20,16:00 EDT,0.16,31.25,31.59,31.105,13889320,,,,,,,,
SOXS,18.63,2026/04/20,16:00 EDT,-0.240002,18.635,19.41,18.44,76332026,,,,,,,,
SPXU,43.82,2026/04/20,16:00 EDT,0.259998,43.81,44.31,43.6199,8038136,,,,,,,,
SQQQ,56.91,2026/04/20,16:00 EDT,0.52,56.59,58.035,56.4134,46411914,,,,,,,,
VRTX,439.18,2026/04/20,16:00 EDT,-2.02002,441.11,442.1499,437.67,705253,,,,,,,,
NTLA,15.21,2026/04/20,16:00 EDT,0.26,14.74,15.305,14.53,2633733,,,,,,,,
CRSP,57.69,2026/04/20,16:00 EDT,-0.300003,57.14,58.6,56.87,1256241,,,,,,,,
BEAM,31.19,2026/04/20,16:00 EDT,-0.199999,30.94,31.455,30.6109,1251392,,,,,,,,
ORCL,177.58,2026/04/20,16:02 EDT,2.52,176.81,177.76,173.51,22198818,,,,,,,,
SNAP,6.0,2026/04/20,16:00 EDT,-0.0300002,5.98,6.05,5.81,46929102,,,,,,,,
TJX,159.69,2026/04/20,16:00 EDT,-0.98999,161.03,161.495,159.38,2857941,,,,,,,,
XOM,147.68,2026/04/20,16:00 EDT,1.23999,147.38,149.37,146.35,13332556,,,,,,,,
EH,11.22,2026/04/20,16:00 EDT,-0.33,11.342,11.47,11.1,500566,,,,,,,,
OPEN,5.35,2026/04/20,16:00 EDT,0.0599999,5.21,5.38,5.12,25023094,,,,,,,,
DIS,106.3,2026/04/20,16:01 EDT,0.0100021,105.91,107.11,105.915,5185492,,,,,,,,
ADBE,248.63,2026/04/20,16:00 EDT,4.18001,249.49,251.63,245.34,5236806,,,,,,,,
CRM,186.27,2026/04/20,16:00 EDT,4.13,182.5,189.0,182.122,14352395,,,,,,,,
TSM,366.24,2026/04/20,16:00 EDT,-4.26001,369.22,370.025,364.25,11012202,,,,,,,,
BABA,140.17,2026/04/20,16:00 EDT,-0.839996,140.465,140.93,138.8725,7796255,,,,,,,,
V,313.94,2026/04/20,16:00 EDT,-3.07999,316.4,317.5486,312.35,4477418,,,,,,,,
ABNB,143.59,2026/04/20,16:00 EDT,2.03999,140.5448,143.8699,140.338,2717677,,,,,,,,
DASH,189.8,2026/04/20,16:00 EDT,5.91,181.67,191.16,181.32,3683740,,,,,,,,
U,26.53,2026/04/20,16:00 EDT,0.610001,25.685,26.73,25.1301,6959818,,,,,,,,
DKNG,22.89,2026/04/20,16:00 EDT,0.0699997,22.402,23.2,22.34,14375709,,,,,,,,
ISRG,465.6,2026/04/20,16:00 EDT,-3.60999,469.124,472.5699,463.65,2434110,,,,,,,,
FSLY,25.41,2026/04/20,16:00 EDT,0.85,24.82,25.95,24.58,5896167,,,,,,,,
DOYU,5.16,2026/04/20,16:00 EDT,0.36,4.99,5.18,4.9307,35566,,,,,,,,
HUYA,3.16,2026/04/20,16:00 EDT,-0.02,3.11,3.18,3.125,446082,,,,,,,,
P,68.0,2026/04/20,16:00 EDT,1.03,66.87,68.535,66.24,2164172,,,,,,,,
WYNN,108.79,2026/04/20,16:00 EDT,-0.400002,107.22,109.36,106.44,1234378,,,,,,,,
TPR,153.61,2026/04/20,16:00 EDT,-2.24001,155.18,156.395,152.69,1240516,,,,,,,,
PFE,27.52,2026/04/20,16:00 EDT,-0.039999,27.585,27.845,27.51,17420985,,,,,,,,
MCHB,15.61,2026/04/20,16:00 EDT,0.0999994,15.44,15.82,15.44,538859,,,,,,,,
ZG,47.44,2026/04/20,16:00 EDT,0.43,46.64,47.755,46.165,687974,,,,,,,,
DOCU,47.71,2026/04/20,16:00 EDT,1.97,45.74,47.73,45.7,2797393,,,,,,,,
ZM,90.56,2026/04/20,16:00 EDT,2.54,89.08,90.69,88.11,3493531,,,,,,,,
TWOU,,,,,,,,,,,,,,,,
KO,75.48,2026/04/20,16:00 EDT,-0.259995,75.82,76.22,75.36,7201338,,,,,,,,
WMT,127.92,2026/04/20,16:00 EDT,0.419998,127.75,129.4624,127.33,18904096,,,,,,,,
COKE,185.99,2026/04/20,16:00 EDT,-4.18999,190.0,190.0,184.95,260553,,,,,,,,
MCD,306.94,2026/04/20,16:00 EDT,-4.41998,312.15,312.4999,305.95,1772746,,,,,,,,
INO,1.18,2026/04/20,16:00 EDT,-0.0100001,1.2,1.21,1.165,1896268,,,,,,,,
MRNA,54.59,2026/04/20,16:00 EDT,0.869999,53.6,55.725,53.015,5604480,,,,,,,,
GILD,135.87,2026/04/20,16:00 EDT,-1.77,138.055,138.54,135.48,3858844,,,,,,,,
MASI,178.45,2026/04/20,16:00 EDT,0.0599976,178.37,178.465,178.25,560411,,,,,,,,
AYX,,,,,,,,,,,,,,,,
NIO,6.66,2026/04/20,16:00 EDT,-0.17,6.8,6.7974,6.62,19016941,,,,,,,,
TSLA,392.5,2026/04/20,16:00 EDT,-8.12,402.58,406.8,388.33,64190600,,,,,,,,
AMD,274.95,2026/04/20,16:00 EDT,-3.44,280.88,287.61,272.13,34150976,,,,,,,,
UPS,107.11,2026/04/20,16:00 EDT,0.669998,105.73,107.5,105.5341,3633934,,,,,,,,
WM,224.18,2026/04/20,16:00 EDT,0.229996,223.56,225.605,223.16,1570680,,,,,,,,
LULU,166.81,2026/04/20,16:00 EDT,-0.470001,164.7689,167.43,164.7,1372623,,,,,,,,
RVLV,26.74,2026/04/20,16:00 EDT,-0.559999,27.06,27.4205,26.2,531928,,,,,,,,
BRK-B,472.08,2026/04/20,16:02 EDT,-2.5,474.38,476.04,471.3701,5091150,,,,,,,,
CQQQ,50.68,2026/04/20,16:00 EDT,0.170002,50.68,50.725,50.33,610138,,,,,,,,
SPY,708.72,2026/04/20,16:00 EDT,-1.42004,708.78,709.91,706.14,41604668,,,,,,,,
^VIX,18.87,2026/04/20,15:15 CDT,1.3900013,19.58,19.99,18.77,0,,,,,,,,
MAR,378.72,2026/04/20,16:00 EDT,0.790009,375.36,379.18,374.58,1204832,,,,,,,,
PLAY,13.84,2026/04/20,16:00 EDT,-0.44,13.98,14.69,13.69,1666486,,,,,,,,
SPG,207.56,2026/04/20,16:00 EDT,1.33,205.33,208.2,205.085,992671,,,,,,,,
GOOG,335.4,2026/04/20,16:00 EDT,-4.0,338.94,339.16,334.63,12830158,,,,,,,,
MSFT,418.07,2026/04/20,16:00 EDT,-4.72,421.145,423.33,416.3,27240190,,,,,,,,
META,670.91,2026/04/20,16:00 EDT,-17.64,681.45,683.33,668.0,12357266,,,,,,,,
NFLX,94.83,2026/04/20,16:00 EDT,-2.48,97.145,97.6,93.54,62982464,,,,,,,,
LYFT,14.42,2026/04/20,16:00 EDT,-0.53,14.68,14.69,14.18,22081798,,,,,,,,
PYPL,51.46,2026/04/20,16:00 EDT,0.649998,50.68,51.51,50.44,13055583,,,,,,,,
AMZN,248.28,2026/04/20,16:00 EDT,-2.28,249.38,250.18,245.365,36557790,,,,,,,,
COST,997.84,2026/04/20,16:00 EDT,-2.04999,1003.85,1011.3,994.14,1474169,,,,,,,,
LMT,581.28,2026/04/20,16:01 EDT,-10.91,593.6,598.0,578.23,1533982,,,,,,,,
LUV,41.82,2026/04/20,16:00 EDT,-0.880001,41.81,42.39,41.55,4872946,,,,,,,,
ALK,43.54,2026/04/20,16:00 EDT,-1.86,44.79,45.22,43.38,4919021,,,,,,,,